Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New User,Chrome 61.0.3163.100,,2017-10-04 10:55:57,2017-10-04 10:56:33,36.467s,FAILED
,,,,,,
Test Cases/Add New User/New User,Chrome 61.0.3163.100,,2017-10-04 10:55:57,2017-10-04 10:56:33,35.856s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-04 10:55:59,2017-10-04 10:56:03,4.338s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-04 10:56:03,2017-10-04 10:56:11,8.449s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:11,2017-10-04 10:56:13,2.136s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:13,2017-10-04 10:56:14,0.475s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:14,2017-10-04 10:56:14,0.368s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:14,2017-10-04 10:56:17,2.345s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:17,2017-10-04 10:56:17,0.170s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:17,2017-10-04 10:56:17,0.671s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:17,2017-10-04 10:56:18,1.021s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-04 10:56:18,2017-10-04 10:56:20,1.146s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:20,2017-10-04 10:56:20,0.184s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:20,2017-10-04 10:56:20,0.647s,FAILED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:20,2017-10-04 10:56:21,0.396s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:21,2017-10-04 10:56:21,0.405s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-04 10:56:21,2017-10-04 10:56:22,0.391s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:22,2017-10-04 10:56:22,0.664s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:22,2017-10-04 10:56:24,1.543s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:24,2017-10-04 10:56:24,0.223s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 10:56:24,2017-10-04 10:56:24,0.359s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:24,2017-10-04 10:56:25,0.199s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:25,2017-10-04 10:56:25,0.198s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 10:56:25,2017-10-04 10:56:25,0.249s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-04 10:56:25,2017-10-04 10:56:32,6.773s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-04 10:56:32,2017-10-04 10:56:33,1.391s,PASSED
