Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Visitor,Chrome 61.0.3163.100,Add Visitor in Security Management System,2017-10-06 12:07:10,2017-10-06 12:08:11,1m - 0.202s,FAILED
,,,,,,
Test Cases/Login Test case,Chrome 61.0.3163.100,Login with Valid credentials,2017-10-06 12:07:11,2017-10-06 12:07:52,40.626s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 12:07:12,2017-10-06 12:07:32,20.267s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 12:07:32,2017-10-06 12:07:41,8.227s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:41,2017-10-06 12:07:45,4.268s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:07:45,2017-10-06 12:07:47,1.970s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:07:47,2017-10-06 12:07:48,0.736s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:48,2017-10-06 12:07:52,4.179s,PASSED
,,,,,,
Test Cases/Add new Visitor in Security Management Module,Chrome 61.0.3163.100,Add new Visitor in Security Management Module,2017-10-06 12:07:52,2017-10-06 12:08:06,13.972s,FAILED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:53,2017-10-06 12:07:54,0.620s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:54,2017-10-06 12:07:54,0.627s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:54,2017-10-06 12:07:59,4.815s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:07:59,2017-10-06 12:08:00,0.939s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:08:00,2017-10-06 12:08:02,1.694s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:08:02,2017-10-06 12:08:03,1.320s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:08:03,2017-10-06 12:08:04,0.742s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:08:04,2017-10-06 12:08:05,0.637s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:08:05,2017-10-06 12:08:05,0.469s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-06 12:08:05,2017-10-06 12:08:06,0.824s,FAILED
