Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add new Event,Chrome 61.0.3163.100,Adding new Event in the Calendar Module,2017-10-08 18:55:55,2017-10-08 18:57:37,1m - 41.658s,FAILED
,,,,,,
Test Cases/Login Test case,Chrome 61.0.3163.100,Login with Valid credentials,2017-10-08 18:55:56,2017-10-08 18:56:52,56.066s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-08 18:55:58,2017-10-08 18:56:15,17.078s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-08 18:56:15,2017-10-08 18:56:29,14.560s,PASSED
click,Chrome 61.0.3163.100,,2017-10-08 18:56:29,2017-10-08 18:56:36,6.782s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:56:36,2017-10-08 18:56:39,2.811s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:56:39,2017-10-08 18:56:41,1.671s,PASSED
click,Chrome 61.0.3163.100,,2017-10-08 18:56:41,2017-10-08 18:56:52,11.846s,PASSED
,,,,,,
Test Cases/Add New Event,Chrome 61.0.3163.100,Add new Event in Calendar Management Module,2017-10-08 18:56:52,2017-10-08 18:57:30,37.248s,FAILED
click,Chrome 61.0.3163.100,,2017-10-08 18:56:54,2017-10-08 18:56:55,0.711s,PASSED
click,Chrome 61.0.3163.100,,2017-10-08 18:56:55,2017-10-08 18:56:55,0.524s,PASSED
click,Chrome 61.0.3163.100,,2017-10-08 18:56:55,2017-10-08 18:57:06,10.624s,PASSED
click,Chrome 61.0.3163.100,,2017-10-08 18:57:06,2017-10-08 18:57:16,9.781s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:57:16,2017-10-08 18:57:19,2.997s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:57:19,2017-10-08 18:57:21,2.172s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:57:21,2017-10-08 18:57:22,1.367s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:57:22,2017-10-08 18:57:23,1.000s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-08 18:57:23,2017-10-08 18:57:24,0.655s,PASSED
selectOptionByLabel,Chrome 61.0.3163.100,,2017-10-08 18:57:24,2017-10-08 18:57:30,5.790s,FAILED
