Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Event,Chrome 61.0.3163.100,Add Event in the Calendar Management Module,2017-10-16 13:17:38,2017-10-16 13:19:13,1m - 35.161s,PASSED
,,,,,,
Test Cases/Calendar Management/Add new Event,Chrome 61.0.3163.100,Add new Event,2017-10-16 13:17:39,2017-10-16 13:19:13,1m - 34.389s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-16 13:17:40,2017-10-16 13:18:52,1m - 11.950s,PASSED
click,Chrome 61.0.3163.100,,2017-10-16 13:18:52,2017-10-16 13:18:53,0.518s,PASSED
click,Chrome 61.0.3163.100,,2017-10-16 13:18:53,2017-10-16 13:18:53,0.495s,PASSED
click,Chrome 61.0.3163.100,,2017-10-16 13:18:53,2017-10-16 13:19:05,11.604s,PASSED
click,Chrome 61.0.3163.100,,2017-10-16 13:19:05,2017-10-16 13:19:06,1.137s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:06,2017-10-16 13:19:07,1.267s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:07,2017-10-16 13:19:08,0.924s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:08,2017-10-16 13:19:09,0.646s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:09,2017-10-16 13:19:09,0.674s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:09,2017-10-16 13:19:10,0.499s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-16 13:19:10,2017-10-16 13:19:10,0.245s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-16 13:19:10,2017-10-16 13:19:11,0.574s,PASSED
click,Chrome 61.0.3163.100,,2017-10-16 13:19:11,2017-10-16 13:19:11,0.215s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-16 13:19:11,2017-10-16 13:19:13,2.219s,PASSED
