Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Event,Chrome 61.0.3163.100,Edit Event in Calendar Management Module,2017-10-30 14:38:38,2017-10-30 14:40:53,2m - 15.063s,FAILED
,,,,,,
Test Cases/Calendar Management/Update Event,Chrome 61.0.3163.100,Update Event in Calendar Management,2017-10-30 14:38:40,2017-10-30 14:40:52,2m - 12.118s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-30 14:38:45,2017-10-30 14:39:30,45.566s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-30 14:39:30,2017-10-30 14:39:30,0.150s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 14:39:30,2017-10-30 14:39:32,1.550s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 14:39:32,2017-10-30 14:39:33,0.776s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 14:39:33,2017-10-30 14:39:39,6.025s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 14:39:39,2017-10-30 14:39:41,2.082s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:41,2017-10-30 14:39:43,2.540s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:43,2017-10-30 14:39:45,1.197s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:45,2017-10-30 14:39:45,0.857s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:45,2017-10-30 14:39:47,1.155s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:47,2017-10-30 14:39:47,0.560s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-30 14:39:47,2017-10-30 14:39:48,0.414s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-30 14:39:48,2017-10-30 14:39:48,0.759s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-30 14:39:48,2017-10-30 14:39:53,5.015s,PASSED
click,Chrome 61.0.3163.100,,2017-10-30 14:39:53,2017-10-30 14:40:47,53.975s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-30 14:40:47,2017-10-30 14:40:52,5.039s,PASSED
