Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign Up,Chrome 61.0.3163.100,,2017-10-12 11:39:24,2017-10-12 11:40:09,44.466s,FAILED
,,,,,,
Test Cases/Creating New Account/Sign Up,Chrome 61.0.3163.100,,2017-10-12 11:39:25,2017-10-12 11:40:09,43.671s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-12 11:39:26,2017-10-12 11:39:32,5.170s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-12 11:39:32,2017-10-12 11:39:39,7.816s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:39:39,2017-10-12 11:39:42,2.705s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-12 11:39:42,2017-10-12 11:39:43,1.166s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:39:43,2017-10-12 11:39:45,1.456s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:39:45,2017-10-12 11:39:50,5.664s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:50,2017-10-12 11:39:51,0.524s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:51,2017-10-12 11:39:51,0.398s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:51,2017-10-12 11:39:52,0.431s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:52,2017-10-12 11:39:53,0.696s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:53,2017-10-12 11:39:53,0.474s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-12 11:39:53,2017-10-12 11:39:58,5.043s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:39:58,2017-10-12 11:39:58,0.260s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 11:39:58,2017-10-12 11:39:59,1.146s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:39:59,2017-10-12 11:40:00,0.792s,FAILED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-12 11:40:00,2017-10-12 11:40:01,0.456s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:40:01,2017-10-12 11:40:01,0.218s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 11:40:01,2017-10-12 11:40:01,0.243s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-12 11:40:01,2017-10-12 11:40:07,6.003s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-12 11:40:07,2017-10-12 11:40:09,1.641s,PASSED
