Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Forgot Password,Chrome 61.0.3163.100,,2017-10-04 13:21:23,2017-10-04 13:21:48,24.920s,FAILED
,,,,,,
Test Cases/ForgotReset Password/Forgot Password,Chrome 61.0.3163.100,,2017-10-04 13:21:24,2017-10-04 13:21:48,24.298s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-04 13:21:25,2017-10-04 13:21:29,3.905s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-04 13:21:29,2017-10-04 13:21:35,6.222s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 13:21:35,2017-10-04 13:21:36,1.604s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 13:21:36,2017-10-04 13:21:40,3.377s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-04 13:21:40,2017-10-04 13:21:41,1.162s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 13:21:41,2017-10-04 13:21:41,0.316s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 13:21:41,2017-10-04 13:21:44,2.556s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-04 13:21:44,2017-10-04 13:21:44,0.068s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-04 13:21:44,2017-10-04 13:21:46,2.605s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-04 13:21:46,2017-10-04 13:21:48,1.507s,PASSED
