Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Leave a Message,Chrome 61.0.3163.100,,2017-10-03 13:44:28,2017-10-03 13:45:29,1m - 1.322s,FAILED
,,,,,,
Test Cases/Login Test case,Chrome 61.0.3163.100,Login with Valid credentials,2017-10-03 13:44:28,2017-10-03 13:45:06,37.894s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-03 13:44:29,2017-10-03 13:44:37,7.545s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-03 13:44:37,2017-10-03 13:44:52,15.077s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:44:52,2017-10-03 13:44:56,3.776s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:44:56,2017-10-03 13:44:58,2.167s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:44:58,2017-10-03 13:44:59,0.908s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:44:59,2017-10-03 13:45:06,7.384s,PASSED
,,,,,,
Test Cases/Leave a message in Unscheduled Visit,Chrome 61.0.3163.100,Leave a message in unscheduled Visit in Self Service Management Module,2017-10-03 13:45:06,2017-10-03 13:45:22,15.312s,FAILED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:07,2017-10-03 13:45:08,0.515s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:08,2017-10-03 13:45:09,0.650s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:09,2017-10-03 13:45:11,2.113s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:11,2017-10-03 13:45:14,3.618s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:14,2017-10-03 13:45:15,0.631s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:45:15,2017-10-03 13:45:16,1.146s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:45:16,2017-10-03 13:45:17,1.071s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:45:17,2017-10-03 13:45:18,1.110s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:45:18,2017-10-03 13:45:19,0.701s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 13:45:19,2017-10-03 13:45:20,0.638s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 13:45:20,2017-10-03 13:45:22,1.914s,FAILED
