Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Update Profile,Chrome 62.0.3202.94,Update User's Profile,2017-12-04 15:55:00,2017-12-04 15:57:26,2m - 26.253s,FAILED
,,,,,,
Test Cases/Profile/Update Profile,Chrome 62.0.3202.94,Update User's Profile,2017-12-04 15:55:00,2017-12-04 15:57:26,2m - 25.832s,FAILED
callTestCase,Chrome 62.0.3202.94,,2017-12-04 15:55:01,2017-12-04 15:56:25,1m - 24.175s,PASSED
maximizeWindow,Chrome 62.0.3202.94,,2017-12-04 15:56:25,2017-12-04 15:56:25,0.008s,PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-04 15:56:25,2017-12-04 15:56:37,11.898s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 15:56:37,2017-12-04 15:56:37,0.213s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:37,2017-12-04 15:56:37,0.255s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:37,2017-12-04 15:56:37,0.250s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:37,2017-12-04 15:56:38,0.202s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 15:56:38,2017-12-04 15:56:38,0.455s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:38,2017-12-04 15:56:39,0.506s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:39,2017-12-04 15:56:39,0.262s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:39,2017-12-04 15:56:39,0.341s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:39,2017-12-04 15:56:39,0.171s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 15:56:39,2017-12-04 15:57:11,31.671s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-04 15:57:11,2017-12-04 15:57:11,0.220s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 15:57:11,2017-12-04 15:57:11,0.147s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 15:57:11,2017-12-04 15:57:12,0.491s,FAILED
delay,Chrome 62.0.3202.94,,2017-12-04 15:57:12,2017-12-04 15:57:17,5.003s,PASSED
click,Chrome 62.0.3202.94,,2017-12-04 15:57:17,2017-12-04 15:57:17,0.132s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 15:57:17,2017-12-04 15:57:22,5.001s,PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-04 15:57:22,2017-12-04 15:57:22,0.059s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 15:57:22,2017-12-04 15:57:25,3.002s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-04 15:57:25,2017-12-04 15:57:26,0.694s,PASSED
