Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Property,Chrome 62.0.3202.94,Adding a new property,2017-12-04 12:30:36,2017-12-04 12:39:01,8m - 24.820s,FAILED
,,,,,,
Test Cases/Property management/Add Property,Chrome 62.0.3202.94,adding a new property,2017-12-04 12:30:36,2017-12-04 12:39:01,8m - 24.273s,FAILED
callTestCase,Chrome 62.0.3202.94,,2017-12-04 12:30:37,2017-12-04 12:37:15,6m - 37.928s,PASSED
callTestCase,Chrome 62.0.3202.94,,2017-12-04 12:37:15,2017-12-04 12:38:24,1m - 9.231s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 12:38:24,2017-12-04 12:38:29,5.010s,PASSED
click,Chrome 62.0.3202.94,,2017-12-04 12:38:29,2017-12-04 12:38:34,5.109s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 12:38:34,2017-12-04 12:38:39,5.003s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 12:38:39,2017-12-04 12:38:39,0.270s,PASSED
selectOptionByLabel,Chrome 62.0.3202.94,,2017-12-04 12:38:39,2017-12-04 12:38:40,0.185s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:40,0.157s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:40,0.137s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:40,0.166s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:40,0.140s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:40,0.208s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 12:38:40,2017-12-04 12:38:45,5.003s,PASSED
click,Chrome 62.0.3202.94,,2017-12-04 12:38:45,2017-12-04 12:38:51,5.123s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-04 12:38:51,2017-12-04 12:38:54,3.003s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2017-12-04 12:38:54,2017-12-04 12:39:00,6.129s,FAILED
closeBrowser,Chrome 62.0.3202.94,,2017-12-04 12:39:00,2017-12-04 12:39:01,0.797s,PASSED
