Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Property,Chrome 61.0.3163.100,Editing property,2017-11-06 11:28:37,2017-11-06 11:35:56,7m - 19.812s,FAILED
,,,,,,
Test Cases/Property management/Edit Property,Chrome 61.0.3163.100,Updating property,2017-11-06 11:28:37,2017-11-06 11:35:56,7m - 19.280s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 11:28:38,2017-11-06 11:35:21,6m - 42.788s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-06 11:35:21,2017-11-06 11:35:35,14.844s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-06 11:35:35,2017-11-06 11:35:40,5.013s,PASSED
click,Chrome 61.0.3163.100,,2017-11-06 11:35:40,2017-11-06 11:35:41,0.383s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-06 11:35:41,2017-11-06 11:35:42,0.901s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-06 11:35:42,2017-11-06 11:35:47,5.003s,PASSED
click,Chrome 61.0.3163.100,,2017-11-06 11:35:47,2017-11-06 11:35:47,0.300s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-06 11:35:47,2017-11-06 11:35:50,3.004s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-11-06 11:35:50,2017-11-06 11:35:54,4.279s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-11-06 11:35:54,2017-11-06 11:35:56,2.089s,PASSED
