Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login and Request a Meeting,Chrome 62.0.3202.94,Login and Request a meeting in Request Meeting Module,2017-12-05 10:42:21,2017-12-05 10:43:55,1m - 34.376s,FAILED
,,,,,,
Test Cases/Request A Meeting/Login and Request for a Meeting,Chrome 62.0.3202.94,Login with correct sign up credentials and Request for a meeting,2017-12-05 10:42:21,2017-12-05 10:43:55,1m - 34.001s,FAILED
callTestCase,Chrome 62.0.3202.94,,2017-12-05 10:42:22,2017-12-05 10:43:02,40.117s,PASSED
selectOptionByValue,Chrome 62.0.3202.94,,2017-12-05 10:43:02,2017-12-05 10:43:03,0.510s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:03,2017-12-05 10:43:03,0.385s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:03,2017-12-05 10:43:03,0.244s,PASSED
click,Chrome 62.0.3202.94,,2017-12-05 10:43:03,2017-12-05 10:43:03,0.152s,PASSED
delay,Chrome 62.0.3202.94,,2017-12-05 10:43:03,2017-12-05 10:43:08,5.002s,PASSED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:08,2017-12-05 10:43:09,0.656s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:09,2017-12-05 10:43:09,0.412s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:09,2017-12-05 10:43:10,0.408s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:10,2017-12-05 10:43:10,0.445s,FAILED
setText,Chrome 62.0.3202.94,,2017-12-05 10:43:10,2017-12-05 10:43:11,0.430s,FAILED
delay,Chrome 62.0.3202.94,,2017-12-05 10:43:11,2017-12-05 10:43:16,5.002s,PASSED
click,Chrome 62.0.3202.94,,2017-12-05 10:43:16,2017-12-05 10:43:16,0.521s,FAILED
delay,Chrome 62.0.3202.94,,2017-12-05 10:43:16,2017-12-05 10:43:19,3.002s,PASSED
verifyElementVisible,Chrome 62.0.3202.94,,2017-12-05 10:43:19,2017-12-05 10:43:52,32.346s,FAILED
delay,Chrome 62.0.3202.94,,2017-12-05 10:43:52,2017-12-05 10:43:55,3.003s,PASSED
closeBrowser,Chrome 62.0.3202.94,,2017-12-05 10:43:55,2017-12-05 10:43:55,0.718s,PASSED
