Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign up,Chrome 61.0.3163.100,Sign up in order to request a meeting,2017-10-11 17:27:39,2017-10-11 17:28:25,46.158s,PASSED
,,,,,,
Test Cases/Request A Meeting/Sign Up in Request Meeting,Chrome 61.0.3163.100,Sign Up in Request Meeting in Homepage,2017-10-11 17:27:40,2017-10-11 17:28:25,45.303s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-11 17:27:41,2017-10-11 17:27:54,13.054s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-11 17:27:54,2017-10-11 17:28:02,7.299s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-11 17:28:02,2017-10-11 17:28:03,1.480s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 17:28:03,2017-10-11 17:28:04,1.364s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 17:28:04,2017-10-11 17:28:09,5.057s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:09,2017-10-11 17:28:11,1.474s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:11,2017-10-11 17:28:12,0.841s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:12,2017-10-11 17:28:13,1.104s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-11 17:28:13,2017-10-11 17:28:14,0.613s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:14,2017-10-11 17:28:14,0.927s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:14,2017-10-11 17:28:15,0.654s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 17:28:15,2017-10-11 17:28:16,0.885s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 17:28:16,2017-10-11 17:28:16,0.254s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 17:28:16,2017-10-11 17:28:21,5.007s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-11 17:28:21,2017-10-11 17:28:25,3.868s,PASSED
