Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Visitor,Chrome 61.0.3163.100,Add new Visitor in Security Management Module,2017-11-03 13:24:55,2017-11-03 13:26:53,1m - 58.016s,FAILED
,,,,,,
Test Cases/Security Management/Add new Visitor in Security Management Module,Chrome 61.0.3163.100,Add new Visitor in Security Management Module,2017-11-03 13:24:57,2017-11-03 13:26:53,1m - 56.400s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-11-03 13:24:58,2017-11-03 13:25:30,31.396s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-03 13:25:30,2017-11-03 13:25:30,0.049s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-03 13:25:30,2017-11-03 13:25:33,3.020s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-03 13:25:33,2017-11-03 13:25:43,10.055s,PASSED
click,Chrome 61.0.3163.100,,2017-11-03 13:25:43,2017-11-03 13:25:44,1.354s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 13:25:44,2017-11-03 13:25:46,1.703s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 13:25:46,2017-11-03 13:25:47,1.021s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 13:25:47,2017-11-03 13:25:48,0.801s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 13:25:48,2017-11-03 13:25:48,0.620s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-03 13:25:48,2017-11-03 13:25:53,5.004s,PASSED
click,Chrome 61.0.3163.100,,2017-11-03 13:25:53,2017-11-03 13:25:55,1.530s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-03 13:25:55,2017-11-03 13:25:58,3.006s,PASSED
verifyElementVisible,Chrome 61.0.3163.100,,2017-11-03 13:25:58,2017-11-03 13:26:51,52.783s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-11-03 13:26:51,2017-11-03 13:26:53,2.471s,PASSED
