Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign Up,Chrome 61.0.3163.100,Sign Up in Test Suite,2017-10-04 12:01:34,2017-10-04 12:02:15,41.632s,PASSED
,,,,,,
Test Cases/Sign Up in Request Meeting,Chrome 61.0.3163.100,Sign Up in Request Meeting in Homepage,2017-10-04 12:01:36,2017-10-04 12:02:15,39.166s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-04 12:01:38,2017-10-04 12:01:47,9.658s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-04 12:01:47,2017-10-04 12:01:59,11.302s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 12:01:59,2017-10-04 12:02:00,1.361s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:00,2017-10-04 12:02:01,1.345s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:01,2017-10-04 12:02:02,0.544s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:02,2017-10-04 12:02:03,1.244s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-04 12:02:03,2017-10-04 12:02:04,0.329s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:04,2017-10-04 12:02:04,0.947s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:04,2017-10-04 12:02:05,0.402s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 12:02:05,2017-10-04 12:02:05,0.418s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 12:02:05,2017-10-04 12:02:06,0.208s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-04 12:02:06,2017-10-04 12:02:15,9.423s,PASSED
