Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign Up,Chrome 61.0.3163.100,,2017-10-03 21:30:58,2017-10-03 21:31:58,1m - 0.011s,PASSED
,,,,,,
Test Cases/Creating New Account/Sign Up,Chrome 61.0.3163.100,,2017-10-03 21:30:58,2017-10-03 21:31:58,59.472s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-03 21:30:59,2017-10-03 21:31:04,4.103s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-03 21:31:04,2017-10-03 21:31:13,9.714s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:13,2017-10-03 21:31:30,16.219s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-03 21:31:30,2017-10-03 21:31:31,1.155s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:31,2017-10-03 21:31:32,1.454s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:32,2017-10-03 21:31:41,8.464s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:41,2017-10-03 21:31:41,0.501s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:41,2017-10-03 21:31:42,0.477s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:42,2017-10-03 21:31:42,0.423s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:42,2017-10-03 21:31:43,0.761s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:43,2017-10-03 21:31:43,0.403s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-03 21:31:43,2017-10-03 21:31:48,5.035s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:48,2017-10-03 21:31:49,0.312s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-03 21:31:49,2017-10-03 21:31:49,0.974s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-03 21:31:49,2017-10-03 21:31:50,0.409s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:50,2017-10-03 21:31:50,0.253s,PASSED
click,Chrome 61.0.3163.100,,2017-10-03 21:31:50,2017-10-03 21:31:50,0.215s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-03 21:31:50,2017-10-03 21:31:56,6.003s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-03 21:31:56,2017-10-03 21:31:58,1.521s,PASSED
