Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
leave a messsage,Chrome 61.0.3163.100,Leave a message in unscheduled Visit,2017-11-03 12:17:20,2017-11-03 12:19:50,2m - 29.774s,PASSED
,,,,,,
Test Cases/Self-Service Management/UnScheduled Visit/Leave Message in Unscheduled Visit,Chrome 61.0.3163.100,Leave Message,2017-11-03 12:17:23,2017-11-03 12:19:50,2m - 27.125s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-03 12:17:25,2017-11-03 12:19:16,1m - 51.337s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-03 12:19:16,2017-11-03 12:19:16,0.059s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-11-03 12:19:16,2017-11-03 12:19:24,7.987s,PASSED
click,Chrome 61.0.3163.100,,2017-11-03 12:19:24,2017-11-03 12:19:28,4.229s,PASSED
click,Chrome 61.0.3163.100,,2017-11-03 12:19:28,2017-11-03 12:19:29,0.432s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 12:19:29,2017-11-03 12:19:30,0.938s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 12:19:30,2017-11-03 12:19:30,0.534s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 12:19:30,2017-11-03 12:19:31,0.795s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 12:19:31,2017-11-03 12:19:32,0.670s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-03 12:19:32,2017-11-03 12:19:33,0.721s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-03 12:19:33,2017-11-03 12:19:38,5.016s,PASSED
click,Chrome 61.0.3163.100,,2017-11-03 12:19:38,2017-11-03 12:19:39,1.363s,PASSED
verifyElementNotPresent,Chrome 61.0.3163.100,,2017-11-03 12:19:39,2017-11-03 12:19:40,0.958s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-03 12:19:40,2017-11-03 12:19:43,3.005s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-11-03 12:19:43,2017-11-03 12:19:50,6.854s,PASSED
