Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User Login,Chrome 61.0.3163.100,,2017-10-06 10:15:04,2017-10-06 10:16:01,57.274s,FAILED
,,,,,,
Test Cases/User Login/Login - Iteration 1,Chrome 61.0.3163.100,,2017-10-06 10:15:05,2017-10-06 10:15:31,26.198s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 10:15:06,2017-10-06 10:15:10,3.940s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 10:15:10,2017-10-06 10:15:15,5.549s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-06 10:15:15,2017-10-06 10:15:16,1.183s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:15:16,2017-10-06 10:15:18,1.684s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:15:18,2017-10-06 10:15:18,0.347s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:15:18,2017-10-06 10:15:19,0.251s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:15:19,2017-10-06 10:15:19,0.792s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-06 10:15:19,2017-10-06 10:15:19,0.092s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-06 10:15:19,2017-10-06 10:15:29,10.032s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-06 10:15:30,2017-10-06 10:15:31,1.330s,PASSED
,,,,,,
Test Cases/User Login/Login - Iteration 2,Chrome 61.0.3163.100,,2017-10-06 10:15:31,2017-10-06 10:16:01,30.438s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 10:15:31,2017-10-06 10:15:33,2.330s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 10:15:33,2017-10-06 10:15:38,5.045s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-06 10:15:38,2017-10-06 10:15:39,1.152s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:15:39,2017-10-06 10:15:41,1.971s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:15:41,2017-10-06 10:15:42,0.347s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:15:42,2017-10-06 10:15:42,0.271s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:15:42,2017-10-06 10:15:44,2.322s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-06 10:15:44,2017-10-06 10:15:50,5.820s,FAILED
delay,Chrome 61.0.3163.100,,2017-10-06 10:15:50,2017-10-06 10:16:00,10.004s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-06 10:16:00,2017-10-06 10:16:01,1.128s,PASSED
