Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Department,Chrome 61.0.3163.100,,2017-10-09 11:32:43,2017-10-09 11:33:13,30.050s,PASSED
,,,,,,
Test Cases/User Management/Add Department/Add Department,Chrome 61.0.3163.100,,2017-10-09 11:32:44,2017-10-09 11:33:13,29.527s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-09 11:32:45,2017-10-09 11:32:49,3.822s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-09 11:32:49,2017-10-09 11:32:55,6.559s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:32:55,2017-10-09 11:32:57,1.942s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 11:32:57,2017-10-09 11:32:57,0.341s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 11:32:57,2017-10-09 11:32:58,0.214s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:32:58,2017-10-09 11:33:01,3.502s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:01,2017-10-09 11:33:01,0.158s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:01,2017-10-09 11:33:02,0.695s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:02,2017-10-09 11:33:04,1.658s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-09 11:33:04,2017-10-09 11:33:05,1.186s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:05,2017-10-09 11:33:05,0.249s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 11:33:05,2017-10-09 11:33:10,5.052s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:10,2017-10-09 11:33:10,0.168s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 11:33:10,2017-10-09 11:33:11,0.318s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 11:33:11,2017-10-09 11:33:11,0.318s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-09 11:33:11,2017-10-09 11:33:12,1.043s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-09 11:33:12,2017-10-09 11:33:13,1.322s,PASSED
