Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New Group,Chrome 61.0.3163.100,,2017-10-06 12:49:10,2017-10-06 12:49:42,32.142s,PASSED
,,,,,,
Test Cases/User Management/Add New Group/Add New Group,Chrome 61.0.3163.100,,2017-10-06 12:49:11,2017-10-06 12:49:42,31.573s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 12:49:12,2017-10-06 12:49:16,4.127s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 12:49:16,2017-10-06 12:49:24,8.255s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:24,2017-10-06 12:49:26,2.042s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:49:26,2017-10-06 12:49:26,0.384s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:49:26,2017-10-06 12:49:27,0.242s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:27,2017-10-06 12:49:29,2.322s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:29,2017-10-06 12:49:29,0.191s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:29,2017-10-06 12:49:30,0.697s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:30,2017-10-06 12:49:31,0.956s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-06 12:49:31,2017-10-06 12:49:32,1.204s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-06 12:49:32,2017-10-06 12:49:35,3.058s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:35,2017-10-06 12:49:35,0.203s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-06 12:49:35,2017-10-06 12:49:38,3.005s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:49:38,2017-10-06 12:49:39,0.362s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 12:49:39,2017-10-06 12:49:39,0.337s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 12:49:39,2017-10-06 12:49:39,0.176s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-06 12:49:39,2017-10-06 12:49:40,1.275s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-06 12:49:40,2017-10-06 12:49:42,1.717s,PASSED
