Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New Profile,Chrome 61.0.3163.100,,2017-10-09 10:18:55,2017-10-09 10:19:29,34.805s,PASSED
,,,,,,
Test Cases/User Management/Add New Profile/Add New Profile,Chrome 61.0.3163.100,,2017-10-09 10:18:55,2017-10-09 10:19:29,34.270s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-09 10:18:56,2017-10-09 10:19:00,4.103s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-09 10:19:00,2017-10-09 10:19:08,8.267s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:08,2017-10-09 10:19:11,2.282s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:19:11,2017-10-09 10:19:11,0.327s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:19:11,2017-10-09 10:19:11,0.217s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:11,2017-10-09 10:19:15,3.373s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:15,2017-10-09 10:19:15,0.178s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:15,2017-10-09 10:19:15,0.690s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:15,2017-10-09 10:19:16,1.049s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-09 10:19:16,2017-10-09 10:19:18,1.181s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:18,2017-10-09 10:19:18,0.172s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 10:19:18,2017-10-09 10:19:23,5.039s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:19:23,2017-10-09 10:19:23,0.293s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:19:23,2017-10-09 10:19:23,0.275s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:23,2017-10-09 10:19:24,0.185s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:19:24,2017-10-09 10:19:25,1.303s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 10:19:25,2017-10-09 10:19:28,3.004s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-09 10:19:28,2017-10-09 10:19:29,1.408s,PASSED
