Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New User,Chrome 61.0.3163.100,,2017-10-06 09:40:55,2017-10-06 09:41:33,38.854s,FAILED
,,,,,,
Test Cases/User Management/Add New User/New User,Chrome 61.0.3163.100,,2017-10-06 09:40:55,2017-10-06 09:41:33,38.212s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 09:40:56,2017-10-06 09:41:01,5.036s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 09:41:01,2017-10-06 09:41:06,4.534s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:06,2017-10-06 09:41:08,2.035s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:08,2017-10-06 09:41:08,0.352s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:08,2017-10-06 09:41:08,0.281s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:08,2017-10-06 09:41:11,2.655s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:11,2017-10-06 09:41:11,0.165s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:11,2017-10-06 09:41:12,0.751s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:12,2017-10-06 09:41:13,1.047s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-06 09:41:13,2017-10-06 09:41:14,1.177s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:14,2017-10-06 09:41:14,0.167s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-06 09:41:14,2017-10-06 09:41:20,5.093s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:20,2017-10-06 09:41:20,0.274s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:20,2017-10-06 09:41:20,0.302s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:20,2017-10-06 09:41:20,0.351s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-06 09:41:20,2017-10-06 09:41:21,0.351s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:21,2017-10-06 09:41:22,0.751s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:22,2017-10-06 09:41:23,1.890s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:23,2017-10-06 09:41:24,0.226s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 09:41:24,2017-10-06 09:41:24,0.330s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:24,2017-10-06 09:41:24,0.190s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:24,2017-10-06 09:41:24,0.267s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 09:41:24,2017-10-06 09:41:25,0.253s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-06 09:41:25,2017-10-06 09:41:32,7.091s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-06 09:41:32,2017-10-06 09:41:33,1.594s,PASSED
