Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Department,Chrome 61.0.3163.100,,2017-10-12 15:14:01,2017-10-12 15:14:36,34.211s,PASSED
,,,,,,
Test Cases/User Management/Department/Add Department,Chrome 61.0.3163.100,,2017-10-12 15:14:02,2017-10-12 15:14:36,33.647s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-12 15:14:03,2017-10-12 15:14:23,19.988s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:23,2017-10-12 15:14:23,0.183s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:23,2017-10-12 15:14:24,0.696s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:24,2017-10-12 15:14:26,2.077s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-12 15:14:26,2017-10-12 15:14:27,1.202s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:27,2017-10-12 15:14:27,0.258s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-12 15:14:27,2017-10-12 15:14:32,5.017s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:32,2017-10-12 15:14:33,0.168s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 15:14:33,2017-10-12 15:14:33,0.283s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:14:33,2017-10-12 15:14:33,0.361s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-12 15:14:33,2017-10-12 15:14:34,0.973s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-12 15:14:34,2017-10-12 15:14:36,1.392s,PASSED
