Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Department,Chrome 61.0.3163.100,,2017-10-12 15:34:53,2017-10-12 15:35:31,37.985s,FAILED
,,,,,,
Test Cases/User Management/Department/Edit Department,Chrome 61.0.3163.100,,2017-10-12 15:34:54,2017-10-12 15:35:29,35.625s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-12 15:34:55,2017-10-12 15:35:19,24.634s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:35:19,2017-10-12 15:35:20,0.206s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:35:20,2017-10-12 15:35:20,0.695s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-12 15:35:20,2017-10-12 15:35:25,5.016s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:35:25,2017-10-12 15:35:27,1.977s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-12 15:35:27,2017-10-12 15:35:28,1.160s,PASSED
click,Chrome 61.0.3163.100,,2017-10-12 15:35:28,2017-10-12 15:35:29,0.252s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.600s,FAILED
delay,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.003s,NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.004s,NOT_RUN
delay,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.010s,NOT_RUN
setText,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.002s,NOT_RUN
delay,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.001s,NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.002s,NOT_RUN
closeBrowser,Chrome 61.0.3163.100,,2017-10-12 15:35:29,2017-10-12 15:35:29,0.002s,NOT_RUN
