Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Department,Firefox 39.0,,2017-10-11 11:54:14,2017-10-11 11:54:56,42.076s,PASSED
,,,,,,
Test Cases/User Management/Edit Department/Edit Department,Firefox 39.0,,2017-10-11 11:54:15,2017-10-11 11:54:56,41.580s,PASSED
openBrowser,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.005s,NOT_RUN
navigateToUrl,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.008s,NOT_RUN
click,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.006s,NOT_RUN
setText,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.004s,NOT_RUN
setText,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.004s,NOT_RUN
click,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:16,0.004s,NOT_RUN
callTestCase,Firefox 39.0,,2017-10-11 11:54:16,2017-10-11 11:54:34,18.776s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:34,2017-10-11 11:54:34,0.130s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:34,2017-10-11 11:54:35,0.662s,PASSED
delay,Firefox 39.0,,2017-10-11 11:54:35,2017-10-11 11:54:40,5.019s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:40,2017-10-11 11:54:42,2.136s,PASSED
maximizeWindow,Firefox 39.0,,2017-10-11 11:54:42,2017-10-11 11:54:42,0.160s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:42,2017-10-11 11:54:43,0.471s,PASSED
setText,Firefox 39.0,,2017-10-11 11:54:43,2017-10-11 11:54:44,1.245s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:44,2017-10-11 11:54:44,0.219s,PASSED
delay,Firefox 39.0,,2017-10-11 11:54:44,2017-10-11 11:54:49,5.005s,PASSED
setText,Firefox 39.0,,2017-10-11 11:54:49,2017-10-11 11:54:50,0.391s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:50,2017-10-11 11:54:50,0.185s,PASSED
delay,Firefox 39.0,,2017-10-11 11:54:50,2017-10-11 11:54:55,5.004s,PASSED
click,Firefox 39.0,,2017-10-11 11:54:55,2017-10-11 11:54:56,0.625s,PASSED
closeBrowser,Firefox 39.0,,2017-10-11 11:54:56,2017-10-11 11:54:56,0.586s,PASSED
