Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Group,Chrome 61.0.3163.100,,2017-10-09 09:39:13,2017-10-09 09:39:43,30.272s,PASSED
,,,,,,
Test Cases/User Management/Edit Group/Edit Group,Chrome 61.0.3163.100,,2017-10-09 09:39:13,2017-10-09 09:39:43,29.734s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-09 09:39:14,2017-10-09 09:39:18,4.020s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-09 09:39:18,2017-10-09 09:39:24,5.504s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:24,2017-10-09 09:39:25,1.851s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 09:39:25,2017-10-09 09:39:26,0.411s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 09:39:26,2017-10-09 09:39:26,0.232s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:26,2017-10-09 09:39:31,4.885s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:31,2017-10-09 09:39:31,0.144s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:31,2017-10-09 09:39:32,0.699s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:32,2017-10-09 09:39:33,1.066s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-09 09:39:33,2017-10-09 09:39:34,1.171s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 09:39:34,2017-10-09 09:39:37,3.032s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:37,2017-10-09 09:39:37,0.274s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 09:39:37,2017-10-09 09:39:40,3.004s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 09:39:40,2017-10-09 09:39:41,0.289s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 09:39:41,2017-10-09 09:39:41,0.195s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-09 09:39:41,2017-10-09 09:39:41,0.664s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-09 09:39:41,2017-10-09 09:39:43,1.305s,PASSED
