Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Profile,Chrome 61.0.3163.100,,2017-10-09 10:46:07,2017-10-09 10:46:40,33.516s,PASSED
,,,,,,
Test Cases/User Management/Edit Profile/Edit Profile,Chrome 61.0.3163.100,,2017-10-09 10:46:07,2017-10-09 10:46:40,32.989s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-09 10:46:08,2017-10-09 10:46:12,3.762s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-09 10:46:12,2017-10-09 10:46:18,5.943s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:18,2017-10-09 10:46:20,1.822s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:46:20,2017-10-09 10:46:20,0.335s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:46:20,2017-10-09 10:46:20,0.225s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:20,2017-10-09 10:46:24,3.302s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:24,2017-10-09 10:46:24,0.172s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:24,2017-10-09 10:46:25,0.687s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:25,2017-10-09 10:46:26,1.047s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-09 10:46:26,2017-10-09 10:46:27,1.173s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-09 10:46:27,2017-10-09 10:46:27,0.191s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 10:46:27,2017-10-09 10:46:32,5.035s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:32,2017-10-09 10:46:32,0.253s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-09 10:46:32,2017-10-09 10:46:37,5.006s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-09 10:46:37,2017-10-09 10:46:38,0.319s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:38,2017-10-09 10:46:38,0.163s,PASSED
click,Chrome 61.0.3163.100,,2017-10-09 10:46:38,2017-10-09 10:46:39,1.275s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-09 10:46:39,2017-10-09 10:46:40,1.303s,PASSED
