Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit User,Chrome 61.0.3163.100,,2017-10-06 10:51:44,2017-10-06 10:52:14,29.987s,PASSED
,,,,,,
Test Cases/User Management/Edit User/Edit User,Chrome 61.0.3163.100,,2017-10-06 10:51:44,2017-10-06 10:52:14,29.467s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-06 10:51:45,2017-10-06 10:51:49,3.873s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-10-06 10:51:49,2017-10-06 10:51:57,7.670s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:51:57,2017-10-06 10:52:00,2.664s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:52:00,2017-10-06 10:52:00,0.326s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:52:00,2017-10-06 10:52:00,0.233s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:00,2017-10-06 10:52:02,2.229s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:02,2017-10-06 10:52:03,0.144s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:03,2017-10-06 10:52:03,0.699s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:03,2017-10-06 10:52:04,1.015s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:04,2017-10-06 10:52:06,1.326s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-06 10:52:06,2017-10-06 10:52:07,1.179s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-06 10:52:07,2017-10-06 10:52:12,5.041s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-06 10:52:12,2017-10-06 10:52:12,0.416s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:12,2017-10-06 10:52:12,0.219s,PASSED
click,Chrome 61.0.3163.100,,2017-10-06 10:52:12,2017-10-06 10:52:12,0.004s,NOT_RUN
closeBrowser,Chrome 61.0.3163.100,,2017-10-06 10:52:12,2017-10-06 10:52:14,1.411s,PASSED
