Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New Group,Chrome 61.0.3163.100,,2017-10-11 12:10:22,2017-10-11 12:10:54,31.417s,PASSED
,,,,,,
Test Cases/User Management/Group Module/Add New Group,Chrome 61.0.3163.100,,2017-10-11 12:10:23,2017-10-11 12:10:53,30.614s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.018s,NOT_RUN
navigateToUrl,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.009s,NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.004s,NOT_RUN
setText,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.003s,NOT_RUN
setText,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.002s,NOT_RUN
click,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:24,0.002s,NOT_RUN
callTestCase,Chrome 61.0.3163.100,,2017-10-11 12:10:24,2017-10-11 12:10:41,16.656s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:10:41,2017-10-11 12:10:41,0.235s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:10:41,2017-10-11 12:10:42,0.725s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:10:42,2017-10-11 12:10:43,1.039s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-11 12:10:43,2017-10-11 12:10:44,1.161s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 12:10:44,2017-10-11 12:10:47,3.018s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:10:47,2017-10-11 12:10:47,0.226s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 12:10:47,2017-10-11 12:10:50,3.004s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:10:50,2017-10-11 12:10:51,0.331s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:10:51,2017-10-11 12:10:51,0.404s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:10:51,2017-10-11 12:10:51,0.251s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-11 12:10:51,2017-10-11 12:10:52,0.690s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-11 12:10:52,2017-10-11 12:10:53,1.612s,PASSED
