Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Group,Firefox 39.0,,2017-10-13 11:47:50,2017-10-13 11:48:38,48.807s,FAILED
,,,,,,
Test Cases/User Management/Group Module/Edit Group,Firefox 39.0,,2017-10-13 11:47:50,2017-10-13 11:48:38,48.220s,FAILED
callTestCase,Firefox 39.0,,2017-10-13 11:47:51,2017-10-13 11:48:10,18.640s,PASSED
click,Firefox 39.0,,2017-10-13 11:48:10,2017-10-13 11:48:10,0.140s,PASSED
click,Firefox 39.0,,2017-10-13 11:48:10,2017-10-13 11:48:11,0.689s,PASSED
click,Firefox 39.0,,2017-10-13 11:48:11,2017-10-13 11:48:11,0.229s,PASSED
maximizeWindow,Firefox 39.0,,2017-10-13 11:48:11,2017-10-13 11:48:12,1.075s,PASSED
delay,Firefox 39.0,,2017-10-13 11:48:12,2017-10-13 11:48:22,10.016s,PASSED
click,Firefox 39.0,,2017-10-13 11:48:22,2017-10-13 11:48:23,0.475s,PASSED
delay,Firefox 39.0,,2017-10-13 11:48:23,2017-10-13 11:48:33,10.003s,PASSED
setText,Firefox 39.0,,2017-10-13 11:48:33,2017-10-13 11:48:33,0.404s,PASSED
click,Firefox 39.0,,2017-10-13 11:48:33,2017-10-13 11:48:34,0.985s,PASSED
verifyElementPresent,Firefox 39.0,,2017-10-13 11:48:34,2017-10-13 11:48:38,3.600s,FAILED
closeBrowser,Firefox 39.0,,2017-10-13 11:48:38,2017-10-13 11:48:38,0.709s,PASSED
