Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New Profile,Chrome 61.0.3163.100,,2017-10-13 12:08:41,2017-10-13 12:09:14,32.891s,PASSED
,,,,,,
Test Cases/User Management/Profile Module/Add New Profile,Chrome 61.0.3163.100,,2017-10-13 12:08:42,2017-10-13 12:09:14,32.336s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-13 12:08:43,2017-10-13 12:09:00,16.706s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:00,2017-10-13 12:09:00,0.178s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:00,2017-10-13 12:09:00,0.699s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:00,2017-10-13 12:09:01,1.014s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-13 12:09:01,2017-10-13 12:09:03,1.202s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:03,2017-10-13 12:09:03,0.182s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-13 12:09:03,2017-10-13 12:09:08,5.021s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-13 12:09:08,2017-10-13 12:09:08,0.263s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-13 12:09:08,2017-10-13 12:09:08,0.268s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:08,2017-10-13 12:09:09,0.173s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:09:09,2017-10-13 12:09:10,1.304s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-13 12:09:10,2017-10-13 12:09:13,3.004s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-10-13 12:09:13,2017-10-13 12:09:14,1.342s,PASSED
