Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Profile,Chrome 61.0.3163.100,,2017-10-11 12:24:34,2017-10-11 12:25:10,36.249s,FAILED
,,,,,,
Test Cases/User Management/Profile Module/Edit Profile,Chrome 61.0.3163.100,,2017-10-11 12:24:35,2017-10-11 12:25:10,35.684s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-11 12:24:36,2017-10-11 12:24:51,15.163s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:24:51,2017-10-11 12:24:51,0.185s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:24:51,2017-10-11 12:24:52,0.694s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:24:52,2017-10-11 12:24:53,0.914s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-11 12:24:53,2017-10-11 12:24:54,1.193s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-10-11 12:24:54,2017-10-11 12:24:54,0.312s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 12:24:54,2017-10-11 12:24:59,5.020s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:24:59,2017-10-11 12:24:59,0.345s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 12:24:59,2017-10-11 12:25:04,5.004s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:25:04,2017-10-11 12:25:05,0.383s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:25:05,2017-10-11 12:25:05,0.208s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-11 12:25:05,2017-10-11 12:25:09,3.823s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-11 12:25:09,2017-10-11 12:25:10,1.384s,PASSED
