Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit proprety types,Firefox 55.0,,2017-10-12 16:24:02,2017-10-12 16:25:11,1m - 9.289s,FAILED
,,,,,,
Test Cases/User Management/Property Types/Edit Property Types,Firefox 55.0,editing property types,2017-10-12 16:24:03,2017-10-12 16:25:11,1m - 7.995s,FAILED
callTestCase,Firefox 55.0,,2017-10-12 16:24:04,2017-10-12 16:24:27,23.555s,PASSED
click,Firefox 55.0,,2017-10-12 16:24:27,2017-10-12 16:24:28,1.077s,PASSED
click,Firefox 55.0,,2017-10-12 16:24:28,2017-10-12 16:24:29,0.693s,PASSED
click,Firefox 55.0,,2017-10-12 16:24:29,2017-10-12 16:24:30,0.694s,PASSED
click,Firefox 55.0,,2017-10-12 16:24:30,2017-10-12 16:24:31,1.620s,PASSED
click,Firefox 55.0,,2017-10-12 16:24:31,2017-10-12 16:24:32,1.103s,PASSED
setText,Firefox 55.0,,2017-10-12 16:24:32,2017-10-12 16:24:33,0.426s,FAILED
setText,Firefox 55.0,,2017-10-12 16:24:33,2017-10-12 16:25:05,32.008s,FAILED
delay,Firefox 55.0,,2017-10-12 16:25:05,2017-10-12 16:25:10,5.016s,PASSED
click,Firefox 55.0,,2017-10-12 16:25:10,2017-10-12 16:25:11,0.908s,PASSED
