Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add New User,Chrome 61.0.3163.100,,2017-10-11 12:30:58,2017-10-11 12:31:36,38.332s,FAILED
,,,,,,
Test Cases/User Management/User Module/New User,Chrome 61.0.3163.100,,2017-10-11 12:30:58,2017-10-11 12:31:36,37.749s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-11 12:30:59,2017-10-11 12:31:14,14.677s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:14,2017-10-11 12:31:14,0.180s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:14,2017-10-11 12:31:15,0.717s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:15,2017-10-11 12:31:16,0.973s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-11 12:31:16,2017-10-11 12:31:17,1.189s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:17,2017-10-11 12:31:17,0.201s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-11 12:31:17,2017-10-11 12:31:22,5.018s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:31:22,2017-10-11 12:31:23,0.275s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:31:23,2017-10-11 12:31:23,0.361s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:31:23,2017-10-11 12:31:23,0.375s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-10-11 12:31:23,2017-10-11 12:31:24,0.352s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:31:24,2017-10-11 12:31:24,0.589s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:24,2017-10-11 12:31:26,2.003s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:26,2017-10-11 12:31:27,0.207s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-11 12:31:27,2017-10-11 12:31:27,0.418s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:27,2017-10-11 12:31:27,0.177s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:27,2017-10-11 12:31:27,0.209s,PASSED
click,Chrome 61.0.3163.100,,2017-10-11 12:31:27,2017-10-11 12:31:28,0.322s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-11 12:31:28,2017-10-11 12:31:35,7.090s,FAILED
closeBrowser,Chrome 61.0.3163.100,,2017-10-11 12:31:35,2017-10-11 12:31:36,1.337s,PASSED
