Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit User,Chrome 61.0.3163.100,,2017-10-13 12:24:39,2017-10-13 12:25:07,28.234s,PASSED
,,,,,,
Test Cases/User Management/User Module/Edit User,Chrome 61.0.3163.100,,2017-10-13 12:24:39,2017-10-13 12:25:07,27.665s,PASSED
callTestCase,Chrome 61.0.3163.100,,2017-10-13 12:24:40,2017-10-13 12:24:56,15.359s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:24:56,2017-10-13 12:24:56,0.165s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:24:56,2017-10-13 12:24:56,0.697s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:24:56,2017-10-13 12:24:57,1.001s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:24:57,2017-10-13 12:24:59,1.379s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-13 12:24:59,2017-10-13 12:25:00,1.180s,PASSED
delay,Chrome 61.0.3163.100,,2017-10-13 12:25:00,2017-10-13 12:25:05,5.017s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-13 12:25:05,2017-10-13 12:25:05,0.347s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:25:05,2017-10-13 12:25:06,0.211s,PASSED
click,Chrome 61.0.3163.100,,2017-10-13 12:25:06,2017-10-13 12:25:06,0.004s,NOT_RUN
closeBrowser,Chrome 61.0.3163.100,,2017-10-13 12:25:06,2017-10-13 12:25:07,1.363s,PASSED
