Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Visitor,Firefox 55.0,adding a new visitor,2017-10-13 11:54:38,2017-10-13 11:56:02,1m - 24.556s,PASSED
,,,,,,
Test Cases/Visitor Management/Add visitor,Firefox 55.0,adding a visitor in VSMS,2017-10-13 11:54:38,2017-10-13 11:56:01,1m - 22.861s,PASSED
callTestCase,Firefox 55.0,,2017-10-13 11:54:39,2017-10-13 11:55:47,1m - 7.742s,PASSED
click,Firefox 55.0,,2017-10-13 11:55:47,2017-10-13 11:55:47,0.222s,PASSED
click,Firefox 55.0,,2017-10-13 11:55:47,2017-10-13 11:55:48,0.192s,PASSED
click,Firefox 55.0,,2017-10-13 11:55:48,2017-10-13 11:55:48,0.336s,PASSED
click,Firefox 55.0,,2017-10-13 11:55:48,2017-10-13 11:55:50,2.177s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:50,2017-10-13 11:55:52,1.587s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:52,2017-10-13 11:55:52,0.849s,PASSED
selectOptionByValue,Firefox 55.0,,2017-10-13 11:55:52,2017-10-13 11:55:53,0.706s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:53,2017-10-13 11:55:54,0.504s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:54,2017-10-13 11:55:55,0.830s,PASSED
selectOptionByLabel,Firefox 55.0,,2017-10-13 11:55:55,2017-10-13 11:55:55,0.307s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:55,2017-10-13 11:55:55,0.479s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:55,2017-10-13 11:55:56,0.443s,PASSED
selectOptionByValue,Firefox 55.0,,2017-10-13 11:55:56,2017-10-13 11:55:56,0.552s,PASSED
selectOptionByValue,Firefox 55.0,,2017-10-13 11:55:56,2017-10-13 11:55:57,0.357s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:57,2017-10-13 11:55:57,0.776s,PASSED
setText,Firefox 55.0,,2017-10-13 11:55:57,2017-10-13 11:55:58,0.450s,PASSED
delay,Firefox 55.0,,2017-10-13 11:55:58,2017-10-13 11:56:01,3.005s,PASSED
click,Firefox 55.0,,2017-10-13 11:56:01,2017-10-13 11:56:01,0.362s,PASSED
