Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
edit-update Visitor type,Chrome 61.0.3163.100,editing Visitor Type,2017-10-04 16:58:56,2017-10-04 17:00:09,1m - 12.457s,FAILED
,,,,,,
Test Cases/LOGIN,Chrome 61.0.3163.100,authenticating a VSMS user,2017-10-04 16:58:57,2017-10-04 16:59:39,42.377s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-10-04 16:58:57,2017-10-04 16:59:29,31.490s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 16:59:29,2017-10-04 16:59:33,3.839s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 16:59:33,2017-10-04 16:59:33,0.338s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 16:59:33,2017-10-04 16:59:33,0.187s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 16:59:33,2017-10-04 16:59:39,5.795s,PASSED
,,,,,,
Test Cases/Edit-Upadate Visitor Tpye,Chrome 61.0.3163.100,editing the visitor types,2017-10-04 16:59:39,2017-10-04 17:00:08,28.675s,FAILED
callTestCase,Chrome 61.0.3163.100,,2017-10-04 16:59:39,2017-10-04 17:00:02,22.999s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:02,2017-10-04 17:00:03,0.174s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:03,2017-10-04 17:00:03,0.692s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:03,2017-10-04 17:00:05,1.596s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-10-04 17:00:05,2017-10-04 17:00:06,1.151s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:06,2017-10-04 17:00:06,0.213s,PASSED
verifyElementPresent,Chrome 61.0.3163.100,,2017-10-04 17:00:06,2017-10-04 17:00:06,0.121s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:06,2017-10-04 17:00:07,0.250s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 17:00:07,2017-10-04 17:00:07,0.357s,PASSED
setText,Chrome 61.0.3163.100,,2017-10-04 17:00:07,2017-10-04 17:00:07,0.297s,PASSED
click,Chrome 61.0.3163.100,,2017-10-04 17:00:07,2017-10-04 17:00:08,0.478s,FAILED
